Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PRN,PowerShares DWA Industrials Momentum Portfolio,55.8936,$117.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/prn
DWLV,PowerShares DWA Momentum & Low Volatility Rotation Portfolio,28.99,$4.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwlv
PDP,PowerShares DWA Momentum Portfolio,47.67,$1.38B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pdp
DWAQ,PowerShares DWA NASDAQ Momentum Portfolio,94.91,$37.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwaq
DWAS,PowerShares DWA SmallCap Momentum Portfolio,44.01,$184.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwas
DWIN,PowerShares DWA Tactical Multi-Asset Income Portfolio,27.4699,$115.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwin
DWTR,PowerShares DWA Tactical Sector Rotation Portfolio,25.9097,$68.66M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwtr
PTF,PowerShares DWA Technology Momenum Portfolio,48.5293,$116.47M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ptf
PUI,PowerShares DWA Utilities Momentum Portfolio,29.05,$55.2M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pui
IDLB,PowerShares FTSE International Low Beta Equal Weight Portfolio,28.98,$155.04M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/idlb
PRFZ,PowerShares FTSE RAFI US 1500 Small-Mid Portfolio,117.63,$1.65B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/prfz
PAGG,PowerShares Global Agriculture Portfolio,25.99,$23.39M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pagg
PSAU,PowerShares Global Gold & Precious Metals Portfolio,21.85,$38.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psau
PIO,PowerShares Global Water Portfolio,24.3,$194.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pio
PGJ,PowerShares Golden Dragon China Portfolio,43.8,$219M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pgj
PEY,PowerShares High Yield Equity Dividend Achievers Portfolio,16.77,$878.75M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pey
IPKW,PowerShares International BuyBack Achievers Portfolio,34.7444,$140.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ipkw
PID,PowerShares International Dividend Achievers Portfolio,15.98,$864.52M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pid
KBWB,PowerShares KBW Bank Portfolio,46.4,$835.2M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kbwb
KBWD,PowerShares KBW High Dividend Yield Financial Portfolio,22.83,$303.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kbwd
KBWY,PowerShares KBW Premium Yield Equity REIT Portfolio,36.63,$353.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kbwy
KBWP,PowerShares KBW Property & Casualty Insurance Portfolio,53.36,$96.05M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kbwp
KBWR,PowerShares KBW Regional Banking Portfolio,47.96,$136.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kbwr
LDRI,PowerShares LadderRite 0-5 Year Corporate Bond Portfolio,25.0868,$22.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ldri
LALT,PowerShares Multi-Strategy Alternative Portfolio,21.54,$4.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lalt
PNQI,PowerShares Nasdaq Internet Portfolio,110.03,$467.63M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pnqi
PDBC,PowerShares Optimum Yield Diversified Commodity Strategy No K-,16.72,$496.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pdbc
QQQ,PowerShares QQQ Trust Series 1,145.47,$53.39B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qqq
USLB,PowerShares Russell 1000 Low Beta Equal Weight Portfolio,29.13,$158.76M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uslb
PSCD,PowerShares S&P SmallCap Consumer Discretionary Portfolio,52.3593,$60.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pscd
PSCC,PowerShares S&P SmallCap Consumer Staples Portfolio,68.43,$54.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pscc
PSCE,PowerShares S&P SmallCap Energy Portfolio,12.57,$34.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psce
PSCF,PowerShares S&P SmallCap Financials Portfolio,48.81,$229.41M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pscf
PSCH,PowerShares S&P SmallCap Health Care Portfolio,88.4553,$234.41M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psch
PSCI,PowerShares S&P SmallCap Industrials Portfolio,54.972,$87.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psci
PSCT,PowerShares S&P SmallCap Information Technology Portfolio,74,$518M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psct
PSCM,PowerShares S&P SmallCap Materials Portfolio,46.0851,$46.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pscm
PSCU,PowerShares S&P SmallCap Utilities Portfolio,53.5603,$48.2M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pscu
VRIG,PowerShares Variable Rate Investment Grade Portfolio,25.2001,$102.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vrig
PHO,PowerShares Water Resources Portfolio,27.29,$809.15M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pho
PRAA,PRA Group Inc.,28.6,$1.29B,2002,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/praa
PRAH,PRA Health Sciences Inc.,77.4,$4.85B,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/prah
PRAN,Prana Biotechnology Ltd,2.63,$23.4M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pran
PRPO,Precipio Inc.,2.27,$14.55M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/prpo
PFBC,Preferred Bank,50.23,$729.04M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pfbc
PLPC,Preformed Line Products Company,52.7,$269.61M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/plpc
PFBI,Premier Financial Bancorp Inc.,17.54,$186.96M,1996,Finance,Major Banks,http://www.nasdaq.com/symbol/pfbi
PINC,Premier Inc.,33.37,$1.78B,2013,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/pinc
LENS,Presbia PLC,2.76,$47.37M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lens
PSDO,Presidio Inc.,13.33,$1.21B,2017,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/psdo
PBIO,Pressure BioSciences Inc.,3.95,$4.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pbio
PRGX,PRGX Global Inc.,7,$156.71M,1996,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/prgx
PSMT,PriceSmart Inc.,83.6,$2.54B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/psmt
PBMD,Prima BioMed Ltd,1.64,$38.42M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pbmd
PNRG,PrimeEnergy Corporation,46,$100.71M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pnrg
PRMW,Primo Water Corporation,11.8,$352.44M,2010,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/prmw
PRIM,Primoris Services Corporation,28,$1.44B,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/prim
BTEC,Principal Healthcare Innovators Index ETF,30.239,$7.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btec
GENY,Principal Millennials Index ETF,30.93,$7.73M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/geny
PSET,Principal Price Setters Index ETF,29.2809,$7.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pset
PY,Principal Shareholder Yield Index ETF,29.13,$7.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/py
PSC,Principal U.S. Small Cap Index ETF,28.1891,$269.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psc
PDEX,Pro-Dex Inc.,7.3,$29.3M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/pdex
IPDN,Professional Diversity Network Inc.,5.48,$21.57M,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/ipdn
PFIE,Profire Energy Inc.,1.6,$77.69M,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/pfie
PGNX,Progenics Pharmaceuticals Inc.,6.15,$432.16M,1997,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pgnx
PRGS,Progress Software Corporation,33.42,$1.61B,1991,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/prgs
PFPT,Proofpoint Inc.,91.66,$4.07B,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/pfpt
PRPH,ProPhase Labs Inc.,2.26,$36.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/prph
PRQR,ProQR Therapeutics N.V.,5.3,$127.76M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/prqr
EQRR,ProShares Equities for Rising Rates ETF,39.05,$14.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eqrr
BIB,ProShares Ultra Nasdaq Biotechnology,61.91,$513.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bib
UBIO,Proshares UltraPro Nasdaq Biotechnology,39.34,$49.17M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ubio
TQQQ,ProShares UltraPro QQQ,113.97,$1.94B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tqqq
ZBIO,ProShares UltraPro Short NASDAQ Biotechnology,10.27,$4.11M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/zbio
SQQQ,ProShares UltraPro Short QQQ,27.02,$641.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqqq
BIS,ProShares UltraShort Nasdaq Biotechnology,20.43,$41.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bis
PSEC,Prospect Capital Corporation,6.84,$2.46B,2004,n/a,n/a,http://www.nasdaq.com/symbol/psec
PTGX,Protagonist Therapeutics Inc.,15.51,$262.16M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptgx
